#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-12-07T07:52:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ61af11f5137f97	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-order=I
#-out.src=I/345/gaia2
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&pos:M13( 30 arcmin J2000)&HTTPPRM:&&-ref=VIZ61af11f5137f97&-out.max=50&-out.form=HTML Table&-out.add=_RAJ,_DEJ&-oc.form=dec&-c=M13&-c.eq=J2000&-c.r=30&-c.u=arcmin&-c.geom=b&-order=I&-out.orig=standard&-out=DR2Name&-out=Gmag&-out=BPmag&-out=RPmag&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=I/345/gaia2
#-c=M13
#-c.eq=J2000
#-c.r= 30
#-c.u=arcmin
#-c.geom=b
#-source=I/345/gaia2
#-out.orig=standard
#-out=DR2Name
#-out=Gmag
#-out=BPmag
#-out=RPmag
#
#INFO	-c=250.423475+36.461319,bm=30.000000/30.	
#Constraint -bmark=POST

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	_RAJ2000	(F17.13)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F17.13)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	BPmag	(F7.4)	? Integrated BP mean magnitude (Vega) (phot_bp_mean_mag) (26)	[ucd=phot.mag;stat.mean;em.opt.B]
#Column	RPmag	(F7.4)	? Integrated RP mean magnitude (Vega) (phot_rp_mean_mag) (29)	[ucd=phot.mag;stat.mean;em.opt.R]
_RAJ2000|_DEJ2000|DR2Name|Gmag|BPmag|RPmag
deg|deg| |mag|mag|mag
-----------------|-----------------|----------------------------|-------|-------|-------
250.4800086358258|+36.2214439302535|Gaia DR2 1328016463588939392|18.2533|18.5121|17.8286
250.4923433545830|+36.2138247899716|Gaia DR2 1328016429229189376|20.1305|20.3974|19.5660
250.4712574843858|+36.2140745233942|Gaia DR2 1328016463588928128|20.5183|20.5721|19.8672
250.4924860464531|+36.2266831633692|Gaia DR2 1328016502251436544|21.2234|       |
250.4833668274722|+36.2306027624705|Gaia DR2 1328016497948686464|18.9664|19.3359|18.3889
250.1497971116463|+36.2132358998071|Gaia DR2 1328025225322220160|19.4119|20.4747|18.2951
250.1343969653708|+36.2251632731802|Gaia DR2 1328025298344702848|16.5007|17.4568|15.5148
250.1370642707185|+36.2326187970931|Gaia DR2 1328025294041719936|18.8609|19.1457|18.3858
250.1532082743433|+36.2199104197835|Gaia DR2 1328025225322228608|19.7416|20.3772|19.0223
250.3341334883719|+36.2147098437498|Gaia DR2 1328027218187042304|21.1034|       |
250.3119143209587|+36.2152144155544|Gaia DR2 1328027458705212032|20.9316|21.1180|20.2914
250.3145715167858|+36.2192906992923|Gaia DR2 1328027493064956800|18.0513|19.0283|17.0611
250.3052809046783|+36.2213871978586|Gaia DR2 1328027458705220736|20.5323|20.4172|19.7088
250.3308315175732|+36.2135110790333|Gaia DR2 1328027424345471360|19.7365|19.8920|19.2484
250.2991743565614|+36.2131406139612|Gaia DR2 1328027458705210496|20.0780|20.4001|19.4421
250.3151835309399|+36.2322802440816|Gaia DR2 1328027493064970112|19.7532|20.0285|19.1833
250.3196385517144|+36.2214231945948|Gaia DR2 1328027424345481984|19.2861|19.5631|18.8323
250.3222490701948|+36.2190254985231|Gaia DR2 1328027428646371200|19.8567|20.4273|18.5805
250.3160667606339|+36.2267093603761|Gaia DR2 1328027493064963584|18.5665|19.1671|17.8699
250.4011287628746|+36.2176860484180|Gaia DR2 1328028042820765312|20.3927|20.6860|19.6265
250.4026738748391|+36.2162689493953|Gaia DR2 1328027974101287168|19.4569|19.7274|18.9356
250.4199083532640|+36.2164515866841|Gaia DR2 1328027974101287424|17.9130|18.4208|17.2355
250.4084711097004|+36.2185988053448|Gaia DR2 1328027974101289856|19.2446|19.8819|18.4840
250.4175405089518|+36.2139885201713|Gaia DR2 1328027978402791680|21.1567|       |
250.4132467769896|+36.2125762720003|Gaia DR2 1328027974101282432|17.9420|18.2800|17.4420
250.4122627259259|+36.2230418882399|Gaia DR2 1328027974103687680|21.1315|       |
